date,location_id,name,measurement,prediction,predictor
2017-12-01,19759,Location 19759,308.731,296.737,60.875
2017-12-01,19982,Location 19982,660.064,630.264,57.25
2017-12-01,19731,Location 19731,456.505,503.083,57.5417
2017-12-01,20129,Location 20129,2293.62,2349.28,74.2917
2017-12-01,19278,Location 19278,1532.91,1548.19,59.5
2017-12-01,20127,Location 20127,2059.67,2057.59,71.9583
2017-12-01,20128,Location 20128,2049.48,2092.67,73.625
2017-12-01,20126,Location 20126,3130.72,3102.52,75.5417
2017-12-01,20130,Location 20130,2079.7,2132.37,69.625
2017-12-02,20126,Location 20126,2789.75,2859.51,75.5833
2017-12-02,19759,Location 19759,334.019,311.431,62.8333
2017-12-02,19731,Location 19731,477.67,521.4680000000001,64.7083
2017-12-02,19278,Location 19278,1585.77,1554.04,59.5833
2017-12-02,19982,Location 19982,649.212,602.7959999999999,65.2917
2017-12-02,20127,Location 20127,1813.3,1867.75,72.2083
2017-12-02,20128,Location 20128,1812.9,1831.69,73.2083
2017-12-02,20130,Location 20130,2131.17,2125.3,69.4583
2017-12-02,20129,Location 20129,2438.08,2206.59,74.25
2017-12-03,20128,Location 20128,1612.66,1598.38,71.7917
2017-12-03,20129,Location 20129,1998.95,1903.16,72.7083
2017-12-03,20130,Location 20130,2051.97,2000.21,68.6667
2017-12-03,19278,Location 19278,1481.6,1340.27,58.2917
2017-12-03,20127,Location 20127,1841.12,1724.67,70.0
2017-12-03,20126,Location 20126,2717.06,2723.14,73.3333
2017-12-04,20127,Location 20127,2051.24,1964.04,70.1667
2017-12-04,20128,Location 20128,1983.35,1941.65,72.5
2017-12-04,20130,Location 20130,2180.3,2130.15,70.125
2017-12-04,20126,Location 20126,3108.14,2974.83,73.75
2017-12-04,20129,Location 20129,2430.18,2303.37,74.25
2017-12-04,19278,Location 19278,1409.07,1432.23,58.5
2017-12-05,20127,Location 20127,1986.51,2023.7,71.6667
2017-12-05,19759,Location 19759,295.358,301.88,63.9583
2017-12-05,19278,Location 19278,1430.93,1435.79,59.7917
2017-12-05,19982,Location 19982,663.688,589.4730000000001,50.2083
2017-12-05,20126,Location 20126,3324.15,3133.02,76.0417
2017-12-05,20129,Location 20129,2389.56,2402.4,76.125
2017-12-05,19731,Location 19731,402.905,387.764,48.625
2017-12-05,20128,Location 20128,2055.19,2049.67,75.1667
2017-12-05,20130,Location 20130,2167.63,2178.43,71.625
2017-12-06,20127,Location 20127,2097.45,2077.6,73.0
2017-12-06,20126,Location 20126,3275.26,3240.79,77.5
2017-12-06,20128,Location 20128,2126.54,2076.93,75.8333
2017-12-06,19982,Location 19982,697.3960000000001,597.184,47.5833
2017-12-06,19731,Location 19731,404.59,384.986,47.5
2017-12-06,19759,Location 19759,423.583,188.62099999999998,45.3333
2017-12-06,20129,Location 20129,2601.28,2454.61,77.0
2017-12-06,20130,Location 20130,1967.23,2165.74,71.375
2017-12-06,19278,Location 19278,1552.0,1442.45,60.625
2017-12-07,19982,Location 19982,763.936,612.006,39.9583
2017-12-07,20129,Location 20129,2544.13,2347.7,74.9167
2017-12-07,19278,Location 19278,1520.53,1453.29,65.2083
2017-12-07,19759,Location 19759,442.602,288.517,43.2083
2017-12-07,20128,Location 20128,2144.08,2009.29,73.9583
2017-12-07,20126,Location 20126,3400.14,3107.28,75.5
2017-12-07,20127,Location 20127,2230.64,2044.28,71.9583
2017-12-07,19731,Location 19731,401.22,343.81800000000004,39.0833
2017-12-07,20130,Location 20130,2059.09,2157.91,71.25
2017-12-08,20130,Location 20130,2258.78,2331.21,74.0
2017-12-08,20127,Location 20127,2416.35,2212.3,75.8333
2017-12-08,20126,Location 20126,3627.88,3348.98,78.125
2017-12-08,20129,Location 20129,2795.69,2612.37,77.6667
2017-12-08,20128,Location 20128,2401.18,2284.04,77.1667
2017-12-08,19278,Location 19278,1592.0,1543.43,63.1667
2017-12-08,19759,Location 19759,545.746,175.81099999999998,37.6667
2017-12-08,19731,Location 19731,420.139,396.457,34.5833
2017-12-08,19982,Location 19982,835.0830000000001,740.477,35.9167
2017-12-09,19759,Location 19759,385.135,296.796,44.125
2017-12-09,19982,Location 19982,696.7389999999999,606.194,45.2083
2017-12-09,19278,Location 19278,1646.4,1535.2,65.5833
2017-12-09,20126,Location 20126,2897.82,2594.05,69.875
2017-12-09,20127,Location 20127,1745.38,1712.93,66.4167
2017-12-09,19731,Location 19731,402.055,393.91900000000004,44.2083
2017-12-09,20130,Location 20130,1897.14,1789.13,60.8333
2017-12-09,20129,Location 20129,2224.94,2157.31,68.625
2017-12-09,20128,Location 20128,1567.87,1593.03,66.9167
2017-12-10,19759,Location 19759,294.562,254.047,48.9583
2017-12-10,19982,Location 19982,657.7310000000001,562.592,51.2083
2017-12-10,19278,Location 19278,1571.2,1403.99,70.125
2017-12-10,19731,Location 19731,367.665,402.405,48.5417
2017-12-11,19759,Location 19759,345.019,318.789,56.0833
2017-12-11,20129,Location 20129,1673.51,1565.37,55.875
2017-12-11,20126,Location 20126,2497.02,2199.56,56.7917
2017-12-11,20127,Location 20127,1635.08,1376.91,51.9583
2017-12-11,20130,Location 20130,1964.22,1661.58,50.2917
2017-12-11,19278,Location 19278,1482.13,1457.46,67.0
2017-12-11,19731,Location 19731,442.075,457.619,56.0417
2017-12-11,19982,Location 19982,673.627,612.86,57.0417
2017-12-11,20128,Location 20128,1381.9,1317.85,53.9583
2017-12-12,19759,Location 19759,307.515,319.032,54.4167
2017-12-12,20129,Location 20129,1910.31,1757.16,59.6667
2017-12-12,19278,Location 19278,1481.6,1455.23,65.4583
2017-12-12,20127,Location 20127,1714.91,1637.6,59.375
2017-12-12,20128,Location 20128,1568.18,1489.24,58.25
2017-12-12,19731,Location 19731,418.725,406.724,48.7083
2017-12-12,19982,Location 19982,648.011,627.722,48.875
2017-12-12,20130,Location 20130,1941.07,1880.39,60.0417
2017-12-12,20126,Location 20126,2583.89,2461.81,61.5417
2017-12-13,19278,Location 19278,1598.93,1452.92,63.0417
2017-12-13,19731,Location 19731,439.195,428.99199999999996,51.9583
2017-12-13,19759,Location 19759,379.594,347.86699999999996,48.5833
2017-12-13,19982,Location 19982,688.572,628.35,52.75
2017-12-13,20127,Location 20127,1674.3,1617.18,58.1667
2017-12-13,20128,Location 20128,1500.98,1480.82,57.7917
2017-12-13,20126,Location 20126,2468.32,2480.25,62.0417
2017-12-13,20130,Location 20130,2237.29,1800.87,55.0417
2017-12-13,20129,Location 20129,1870.76,1774.51,59.4583
2017-12-14,19278,Location 19278,1617.6,1455.51,63.25
2017-12-14,19982,Location 19982,662.076,641.12,49.5833
2017-12-14,20128,Location 20128,1607.88,1481.96,57.2083
2017-12-14,20129,Location 20129,1908.32,1762.92,58.2917
2017-12-14,20126,Location 20126,2604.63,2443.68,60.2917
2017-12-14,20127,Location 20127,1764.87,1623.29,57.3333
2017-12-14,19759,Location 19759,327.592,331.58,55.375
2017-12-14,19731,Location 19731,453.265,411.284,48.8333
2017-12-14,20130,Location 20130,2044.83,1931.29,60.2917
2017-12-15,19759,Location 19759,359.83099999999996,334.99699999999996,51.0
2017-12-15,20127,Location 20127,1845.37,1805.56,63.125
2017-12-15,19278,Location 19278,1702.93,1552.6,62.6667
2017-12-15,20130,Location 20130,2201.42,2017.58,66.125
2017-12-15,19731,Location 19731,433.79,437.082,43.25
2017-12-15,20128,Location 20128,1918.99,1839.35,63.1667
2017-12-15,20129,Location 20129,2379.53,2206.9,64.2917
2017-12-15,20126,Location 20126,3028.63,2903.36,66.0833
2017-12-15,19982,Location 19982,717.076,735.4019999999999,43.9167
2017-12-16,19731,Location 19731,405.02,413.213,45.4167
2017-12-16,19759,Location 19759,316.487,329.01099999999997,52.2917
2017-12-16,19982,Location 19982,648.384,643.743,46.1667
2017-12-16,20130,Location 20130,2220.78,2016.31,65.5833
2017-12-16,20127,Location 20127,1874.2,1740.51,64.2083
2017-12-16,20128,Location 20128,1706.8,1623.54,66.6667
2017-12-16,19278,Location 19278,1668.27,1605.55,55.4167
2017-12-16,20129,Location 20129,2313.93,2205.68,67.9167
2017-12-16,20126,Location 20126,2660.01,2562.53,68.25
2017-12-17,20127,Location 20127,1678.35,1687.24,68.9167
2017-12-17,20126,Location 20126,2791.33,2807.47,73.8333
2017-12-17,19278,Location 19278,1497.6,1405.74,58.125
2017-12-17,19982,Location 19982,698.172,641.771,46.8333
2017-12-17,20129,Location 20129,2066.94,1976.94,73.9583
2017-12-17,20128,Location 20128,1682.01,1640.41,72.625
2017-12-17,19759,Location 19759,277.867,262.619,55.0833
2017-12-17,20130,Location 20130,1989.89,1949.92,66.9167
2017-12-17,19731,Location 19731,375.3,396.32099999999997,46.7083
2017-12-18,19982,Location 19982,676.555,647.629,49.5417
2017-12-18,19731,Location 19731,428.005,414.853,49.4583
2017-12-18,19278,Location 19278,1469.87,1444.84,56.9167
2017-12-18,19759,Location 19759,316.976,315.427,62.2917
2017-12-19,20129,Location 20129,2446.3,2311.75,73.8333
2017-12-19,20130,Location 20130,2177.08,2144.71,69.8333
2017-12-19,20126,Location 20126,3242.85,3058.15,74.3333
2017-12-19,20127,Location 20127,2037.89,2003.77,70.4583
2017-12-19,19731,Location 19731,489.915,468.092,56.9167
2017-12-19,19982,Location 19982,659.4839999999999,625.044,57.2917
2017-12-19,19759,Location 19759,391.651,351.793,71.5417
2017-12-19,20128,Location 20128,1958.16,1937.72,71.7083
2017-12-19,19278,Location 19278,1522.13,1450.46,55.1667
2017-12-20,19982,Location 19982,666.5319999999999,632.424,55.125
2017-12-20,19731,Location 19731,484.71,454.401,55.0833
2017-12-20,19278,Location 19278,1583.47,1463.42,52.625
2017-12-20,19759,Location 19759,329.58099999999996,328.591,67.7917
2017-12-20,20130,Location 20130,2192.32,2145.37,69.7917
2017-12-20,20128,Location 20128,2005.72,1991.09,73.1667
2017-12-20,20127,Location 20127,2076.14,2006.9,70.4583
2017-12-20,20126,Location 20126,3208.25,3115.66,75.2083
2017-12-20,20129,Location 20129,2465.58,2354.1,74.625
2017-12-21,19759,Location 19759,368.843,325.862,66.7917
2017-12-21,19278,Location 19278,1593.6,1480.23,52.0417
2017-12-21,20127,Location 20127,2136.13,1986.24,69.6667
2017-12-21,20128,Location 20128,1990.24,1941.34,71.7083
2017-12-21,20126,Location 20126,3353.96,3046.03,73.9167
2017-12-21,19731,Location 19731,496.98,493.561,60.1667
2017-12-21,20130,Location 20130,2362.68,2223.05,72.125
2017-12-21,19982,Location 19982,718.8560000000001,620.7040000000001,61.0
2017-12-21,20129,Location 20129,2533.49,2277.49,72.7917
2017-12-22,19982,Location 19982,763.556,748.7310000000001,42.9583
2017-12-22,20128,Location 20128,2175.99,2088.53,72.0417
2017-12-22,19731,Location 19731,460.21,443.05,43.875
2017-12-22,20130,Location 20130,2338.49,2177.07,69.6667
2017-12-22,19278,Location 19278,1628.8,1625.19,51.9583
2017-12-22,20127,Location 20127,2286.05,2070.11,70.625
2017-12-22,20129,Location 20129,2705.83,2430.11,72.75
2017-12-22,19759,Location 19759,381.277,357.134,70.7083
2017-12-22,20126,Location 20126,3372.89,3180.62,73.2917
2017-12-23,20130,Location 20130,2314.92,2182.79,69.4583
2017-12-23,19731,Location 19731,399.46,399.754,40.4167
2017-12-23,20126,Location 20126,2919.3,2821.55,73.9167
2017-12-23,20127,Location 20127,2101.57,1882.8,70.2083
2017-12-23,19759,Location 19759,380.69,353.716,47.9583
2017-12-23,20129,Location 20129,2393.51,2263.21,74.2083
2017-12-23,19982,Location 19982,823.68,687.422,40.7083
2017-12-23,19278,Location 19278,1583.47,1606.04,53.9167
2017-12-23,20128,Location 20128,1857.44,1866.35,74.0833
2017-12-24,19278,Location 19278,1580.8,1440.38,56.875
2017-12-24,19982,Location 19982,862.1039999999999,790.3380000000001,40.5
2017-12-24,19759,Location 19759,361.81199999999995,267.387,52.0833
2017-12-24,19731,Location 19731,431.13,369.459,39.75
2017-12-24,20130,Location 20130,2265.89,2022.9,68.6667
2017-12-24,20126,Location 20126,2923.43,2736.27,71.5833
2017-12-24,20127,Location 20127,2153.72,1732.55,70.0833
2017-12-24,20128,Location 20128,1925.59,1582.29,70.2083
2017-12-24,20129,Location 20129,2372.78,1858.77,70.9583
2017-12-25,20128,Location 20128,1045.57,1837.06,68.7917
2017-12-25,20127,Location 20127,1220.88,1936.2,68.2083
2017-12-25,20130,Location 20130,1045.59,2066.95,66.75
2017-12-25,20126,Location 20126,1805.36,2926.66,71.5417
2017-12-25,19982,Location 19982,760.1239999999999,730.102,37.4167
2017-12-25,19759,Location 19759,239.36599999999999,348.71,46.75
2017-12-25,20129,Location 20129,1401.45,2184.36,70.375
2017-12-25,19731,Location 19731,280.045,346.227,36.9167
2017-12-26,19278,Location 19278,1371.2,1453.32,55.4583
2017-12-26,20126,Location 20126,2884.11,3059.16,74.25
2017-12-26,19759,Location 19759,350.731,345.772,50.1667
2017-12-26,20129,Location 20129,2407.19,2274.66,72.5833
2017-12-26,20130,Location 20130,2111.24,2022.16,63.6667
2017-12-26,20128,Location 20128,1896.29,1943.75,71.9167
2017-12-26,20127,Location 20127,2067.43,1931.36,67.7917
2017-12-26,19731,Location 19731,386.45,365.941,39.5833
2017-12-26,19982,Location 19982,742.404,720.408,40.3333
2017-12-27,19731,Location 19731,399.835,358.824,35.3333
2017-12-27,20128,Location 20128,1939.0,1983.94,73.0833
2017-12-27,20129,Location 20129,2331.79,2344.72,74.1667
2017-12-27,20126,Location 20126,2997.15,3121.68,75.3333
2017-12-27,20127,Location 20127,2184.7,2020.74,70.3333
2017-12-27,19278,Location 19278,1398.4,1451.86,58.3333
2017-12-27,19982,Location 19982,826.1039999999999,771.3839999999999,35.1667
2017-12-27,19759,Location 19759,415.788,390.718,42.875
2017-12-27,20130,Location 20130,2223.04,2105.06,67.875
2017-12-28,20128,Location 20128,1949.48,1930.6,71.5833
2017-12-28,19278,Location 19278,1309.33,1446.82,60.3333
2017-12-28,20127,Location 20127,2080.64,1996.88,69.5
2017-12-28,20129,Location 20129,2349.65,2251.65,71.9167
2017-12-28,19759,Location 19759,419.042,405.45300000000003,41.375
2017-12-28,20130,Location 20130,2054.68,2073.7,66.5
2017-12-28,19731,Location 19731,438.164,376.51599999999996,36.875
2017-12-28,19982,Location 19982,823.3639999999999,766.25,37.5833
2017-12-28,20126,Location 20126,3029.42,3035.21,73.9167
2017-12-29,20128,Location 20128,1754.39,1895.2,66.9167
2017-12-29,20127,Location 20127,2128.51,1979.12,65.75
2017-12-29,20126,Location 20126,3047.2,3107.53,71.5
2017-12-29,20129,Location 20129,2218.76,2305.65,68.25
2017-12-29,19731,Location 19731,435.065,436.66900000000004,41.0833
2017-12-29,20130,Location 20130,1908.59,1907.18,61.8333
2017-12-29,19982,Location 19982,752.419,758.203,41.75
2017-12-29,19759,Location 19759,357.574,356.251,47.7083
2017-12-29,19278,Location 19278,1510.93,1559.85,61.7917
2017-12-30,20128,Location 20128,1450.48,1432.2,59.375
2017-12-30,19278,Location 19278,1542.93,1576.0,58.0417
2017-12-30,20130,Location 20130,2112.9,1838.28,58.375
2017-12-30,20126,Location 20126,2547.75,2474.6,61.875
2017-12-30,20129,Location 20129,2086.49,2119.04,60.1667
2017-12-30,19731,Location 19731,406.4,401.73900000000003,40.5
2017-12-30,19982,Location 19982,754.528,738.357,41.2917
2017-12-30,20127,Location 20127,1928.44,1823.31,60.9583
2017-12-30,19759,Location 19759,325.932,337.411,54.75
2017-12-31,19278,Location 19278,1590.4,1491.6,55.2917
2017-12-31,19759,Location 19759,401.283,317.538,47.1667
2017-12-31,19982,Location 19982,1091.38,1076.94,27.5833
2017-12-31,20126,Location 20126,2500.28,2498.84,62.75
2017-12-31,20128,Location 20128,1530.67,1479.33,59.2083
2017-12-31,20129,Location 20129,1629.35,1607.66,60.9167
2017-12-31,20130,Location 20130,2197.95,2015.44,58.9583
2017-12-31,19731,Location 19731,424.89,370.875,27.0833
2017-12-31,20127,Location 20127,1802.1,1719.12,60.625
2018-01-01,20130,Location 20130,2386.38,1907.07,54.75
2018-01-01,20128,Location 20128,1458.39,1711.95,64.6667
2018-01-01,19759,Location 19759,543.32,450.25300000000004,35.2083
2018-01-01,19982,Location 19982,1288.26,917.8560000000001,21.375
2018-01-01,19731,Location 19731,381.96,372.452,20.9167
2018-01-01,20129,Location 20129,1907.96,2073.16,66.8333
2018-01-01,20127,Location 20127,1689.54,1744.53,61.0417
2018-01-01,20126,Location 20126,2838.36,2789.83,68.2083
